Turbine_ID,Status.Summary,X.coordinate,Y.coordinate,Old.Ref.ID,Ref.ID,Record.Last.Updated..dd.mm.yyyy.,Operator..or.Applicant.,Site.Name,Capacity,RO.Banding..ROC.MWh.,FiT.Tariff..p.kWh.,CfD.Capacity..MW.,Turbine.Capacity..MW.,No..of.Turbines,Height.of.Turbines..m.,Development.Status,Development.Status..short.,Address,County,Region,Country,Post.Code,Planning.Authority,Planning.Application.Reference,Appeal.Reference,Secretary.of.State.Reference,Type.of.Secretary.of.State.Intervention,Judicial.Review,Planning.Application.Submitted,Planning.Application.Withdrawn,Planning.Permission.Refused,Appeal.Lodged,Appeal.Withdrawn,Appeal.Refused,Appeal.Granted,Planning.Permission.Granted,Secretary.of.State...Intervened,Secretary.of.State...Refusal,Secretary.of.State...Granted,Planning.Permission.Expired,Under.Construction,Operational,Size,Year,Airports,AONB,ARoads,BRoads,HCoast,HVpowerline,MilitarySites,MinRoads,Motorways,NationalParks,NNR,Powerlines,PrimaryRoads,Railway,RAMSAR,SACS,SPA,SSSI,UrbanRegions,Slope,UKElevation,WindSpeed45,Authority,Code,Type,Council_si,Con,Lab,LD,Other,SNP_PC,Control,Majority,Con_share,Lab_share,LD_share,Oth_share,SNP_PC_sha,CensusMerged,PoliticalMerged,AgeTotal,AgeMean,AgeMedian,QualTotal,QualLevel4,QualPercL4,SocGrdTot,SocGrdAB,TenureTotal,TenureOwned,PercOwn,lon,lat,Est_Turbine.Capacity..MW.,Est_UrbanRegions,Est_AONB,Est_NationalParks,Est_RAMSAR,Est_SPA,Est_QualPercL4,Est_AgeMean,Est_year,Site Score
L_1454,Approved,299342,652838,B0221,3873,27/06/2016,Muirhall Energy,Muirhall Extension,6.8,NA,NA,NA,3.4,2,NA,Operational,Operational,"Stellashaw Moss, South Lanarkshire",Strathclyde,Scotland,Scotland,NA,South Lanarkshire Council,CL/12/0074,NA,NA,NA,NA,21/02/2012,NA,NA,NA,NA,NA,NA,10/09/2012,NA,NA,NA,NA,NA,30/04/2014,Large,2012,24.134,18.864,2.95,3.576,98.594,0.99,17.932,0.12,13.044,60.082,11.662,0.99,6.352,0.178,11.803,3.069,11.801,3.069,0.956,3.586175442,252,7,South Lanarkshire,8027,12,67,3,33,1,2,28,NOC,34,4.47761194,49.25373134,1.492537313,2.985074627,41.79104478,S01005843,South Lanarkshire,637,40.5,44,520,143,28,431,23,256,218,85,-3.605546391,55.75839221,0.597362167,0.474843416,0.482968058,0.52353501,0.483670154,0.500411272,0.497070204,0.530766313,0.398324829,0.466897662
L_1455,Approved,221500,578500,N00366W,3258,25/10/2011,Scottish Power Renewables,Arecleoch Windfarm,120,NA,NA,NA,2,60,NA,Operational,Operational,Arecleoch and Kilgallioch Forest near Barrhill,Strathclyde,Scotland,Scotland,NA,Scottish Government (S36),n/a,NA,NA,NA,NA,03/04/2006,NA,NA,NA,NA,NA,NA,01/06/2008,NA,NA,NA,NA,01/09/2009,14/06/2011,Large,2006,26.132,37.458,4.042,3.838,96.504,5.811,33.781,0.266,68.375,101.833,25.746,5.811,11.438,1.462,20.126,5.116,6.003,5.68,1.686,2.269835234,182,7,South Ayrshire,8026,12,30,15,14,0,1,0,NOC,16,50,46.66666667,0,3.333333333,0,S01005523,South Ayrshire,788,46.5,50,680,157,23,476,10.1,343,232,68,-4.797053558,55.06878497,0.503744024,0.504414407,0.523535034,0.598013246,0.501249538,0.517934365,0.536549831,0.450216093,0.571276285,0.678467917
L_1456,Approved,398519,638193,A0544,4163,20/01/2015,EDF,Barmoor South Wind Farm (Resubmission),13.8,NA,NA,NA,2.3,6,NA,Operational,Operational,Between Ford And Lowick Bowsden Berwick-upon-Tweed Northumberland,Northumberland,North East,England,NA,Northumberland County Council,C/07/00180/CPC,NA,NA,NA,NA,22/11/2007,NA,17/12/2007,NA,NA,NA,21/01/2010,21/01/2010,NA,NA,NA,NA,01/03/2014,19/01/2015,Large,2007,6.138,8.874,10.319,1.131,8.874,5.292,24.146,0.572,77.411,8.958,10.175,5.292,5.803,5.043,6.369,0.916,6.372,0.916,2.262,1.164388061,119,8,Northumberland,2800,2,67,14,35,14,4,NA,Lab,34,20.89552239,52.23880597,20.89552239,5.970149254,NA,E01027381,Northumberland,1848,46.2,50,1583,448,28,569,16.9,852,383,45,-2.025087614,55.63729277,0.524056383,0.527735614,0.461231126,0.431240027,0.472211816,0.516820008,0.497070204,0.454216926,0.542515894,0.405773558
L_1457,Approved,225000,585000,N00368W,3260,16/08/2011,Force 9 Energy,Mark Hill,56,NA,NA,NA,2.3,24,NA,Operational,Operational,"Mark's Hill, Barrhill",Strathclyde,Scotland,Scotland,NA,Scottish Government (S36),n/a,NA,NA,NA,NA,19/08/2005,NA,NA,NA,NA,NA,NA,01/06/2008,NA,NA,NA,NA,01/10/2009,01/06/2011,Large,2005,33.497,38.063,3.214,3.364,98.418,1.59,41.068,2.488,61.061,95.63,21.575,1.59,12.65,3.771,20.88,7.098,10.995,2.984,2.502,2.85771966,194,8,South Ayrshire,8026,12,30,15,15,0,0,0,NOC,16,50,50,0,0,0,S01005523,South Ayrshire,788,46.5,50,680,157,23,476,10.1,343,232,68,-4.746310427,55.12837306,0.524056383,0.537422995,0.524852665,0.587145887,0.502842594,0.502848257,0.536549831,0.450216093,0.599563165,0.727748282
L_1458,Approved,336736,951086,N00044W,3108,11/04/2011,RWE npower,Causeymire,48.3,NA,NA,NA,2,24,NA,Operational,Operational,"Causey Mire, Caithness, Highlands",Highland,Scotland,Scotland,NA,Highland Council,01/00361/FULCA,NA,NA,NA,NA,01/11/2001,NA,NA,NA,NA,NA,NA,19/11/2002,NA,NA,NA,NA,NA,01/06/2004,Large,2001,42.288,46.771,0.428,2.038,299.801,1.904,81.966,0.016,230.065,118.484,30.42,1.904,0.738,0.762,6.819,2.171,1.95,0.906,0,3.212264299,24,8,Highland,8018,12,80,0,11,10,51,8,Ind,41,0,13.75,12.5,63.75,10,S01003983,Highland,683,43.5,47,580,134,23,454,20.9,301,252,84,-3.085422964,58.4434698,0.503744024,0.436414463,0.543770526,0.626686746,0.473159757,0.530160025,0.536549831,0.490429081,0.704742659,0.795190645
L_1459,Approved,278965,630750,S0011W1,3593,11/04/2011,Trigen,"Hagshaw Hill (S15) Wind Farm, Lanarkshire",7.8,NA,NA,NA,0.6,13,NA,Operational,Operational,The site lies 4km west of Douglas,Strathclyde,Scotland,Scotland,NA,South Lanarkshire Council,NA,NA,NA,NA,NA,13/05/1994,NA,NA,NA,NA,NA,NA,02/11/1994,NA,NA,NA,NA,NA,01/11/1995,Large,1994,41.51,30.13,2.258,6.82,116.413,1.142,30.803,2.927,6.716,62.114,13.615,1.142,15.341,15.764,38.833,5.774,3.476,1.989,2.885,4.312703133,471,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S01005670,South Lanarkshire,756,41.6,45,631,138,22,512,15,338,201,59,-3.920325303,55.55536987,0.409862615,0.552821142,0.507554733,0.52721202,0.540684357,0.525560381,0.544406823,0.515994754,0.843708022,0.890175841
L_1460,Approved,333969,965435,C1820,3433,18/03/2016,Greencoat UK Wind/Bay Wa .r.e/ SunGift,Stroupster Wind Farm - additional turbine,2.3,NA,NA,NA,2.3,1,NA,Operational,Operational,"Stroupster, Caithness",Highland,Scotland,Scotland,NA,Highland Council,13/04144/FUL,NA,NA,NA,NA,05/11/2013,NA,NA,NA,NA,NA,NA,20/01/2014,NA,NA,NA,NA,01/07/2014,15/10/2015,Large,2013,27.866,32.404,3.223,8.392,314.413,13.229,95.06,2.002,244.006,131.777,30.577,13.229,13.737,6.758,0.364,0.365,0.367,0.365,1.875,1.453782082,66,9,Highland,8018,12,80,0,8,15,35,22,NOC,41,0,10,18.75,43.75,27.5,S01004008,Highland,672,44.7,47,570,98,17,424,16,282,234,83,-3.1369712,58.57190389,0.524056383,0.512073759,0.512516868,0.648965556,0.459583898,0.53492606,0.583285741,0.474299654,0.370742007,0.599565134
L_1461,Approved,424367,595143,AA189,4167,03/10/2016,Infinis (formerly Novera Energy),Sisters,8.2,NA,NA,NA,2.05,4,NA,Operational,Operational,"west of Widdrington, approximately 8km north of Ashington, Northumberland",Northumberland,North East,England,NA,Northumberland County Council,11/02481/RENEIA,NA,NA,NA,NA,28/09/2011,NA,NA,NA,NA,NA,NA,06/02/2013,NA,NA,NA,NA,27/07/2015,30/07/2016,Large,2011,23.016,9.869,5.449,0.768,3.403,0.47,17.237,0.571,29.72,17.905,34.893,0.486,1.093,0.627,4.977,10.039,4.977,3.545,0.401,0.918059587,38,7,Northumberland,2821,11,67,17,17,26,7,NA,NOC,34,25.37313433,25.37313433,38.80597015,10.44776119,NA,E01027475,Northumberland,1415,48.1,52,1231,390,32,428,25.7,641,551,86,-1.618247157,55.24987367,0.507132089,0.452467819,0.463390881,0.447230765,0.469280814,0.521031851,0.465489154,0.428999113,0.426568661,0.203032866
L_1462,Approved,182700,676700,B0644,4328,04/04/2016,Srondoire Wind Farmers LLP,Srondoire Community Wind Farm,6,NA,NA,NA,2,3,NA,Operational,Operational,"Cruach A Phubuill, Adj Allt Dearg Windfarm, Ardrishaig, Lochgilphead, Argyll, PA31 8PE",Strathclyde,Scotland,Scotland,NA,Argyll and Bute Council,13/01427/PP,NA,NA,NA,NA,10/07/2013,NA,NA,NA,NA,NA,NA,11/12/2013,NA,NA,NA,NA,20/06/2014,20/12/2015,Large,2013,49.235,3.044,8.862,3.179,196.427,2.9,20.951,4.556,57.99,25.565,11.663,2.9,3.199,37.563,25.828,2.582,2.2,2.2,3.285,6.965098858,402,11,Argyll & Bute,8004,12,36,5,0,5,13,13,NOC,19,13.88888889,0,13.88888889,36.11111111,36.11111111,S01000763,Argyll and Bute,747,46.7,49,640,284,44,442,27.6,353,251,71,-5.480522284,55.9341008,0.503744024,0.568794848,0.448608306,0.461009868,0.513293841,0.529406809,0.373344596,0.447552411,0.370742007,0.223568188
L_1463,Approved,390213,840362,AA319,4170,07/05/2015,SAC Environment And Design,Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm,6.9,NA,NA,NA,2.3,3,NA,Operational,Operational,"Auchnagatt, Ellon, AB41 8YD",Grampian,Scotland,Scotland,NA,Aberdeenshire Council,APP/2011/0692,NA,NA,NA,NA,04/03/2011,NA,NA,NA,NA,NA,NA,18/01/2013,NA,NA,NA,NA,09/12/2013,16/02/2015,Large,2011,26.716,70.736,3.002,3.157,182.91,4.523,25.493,0.44,140.973,55.025,13.291,4.525,9.819,22.123,13.019,16.465,13.023,7.592,1.663,5.159818649,144,9,Aberdeenshire,8002,12,68,13,0,25,8,22,NOC,35,19.11764706,0,36.76470588,11.76470588,32.35294118,S01000458,Aberdeenshire,930,38.6,42,739,258,35,646,31.6,346,289,84,-2.164743896,57.45345015,0.524056383,0.503482103,0.595029122,0.514373878,0.486237039,0.496716488,0.441969892,0.556139819,0.426568661,0.52323861
